20131123,   4,  28,     7,  24,
20131123,   2,  7,	1,  48,
20131123,   6,  41,     3,  42,
20131123,   8,  7,      5,  34, 
20131116,   7,  59,     8,  23,
20131116,   3,  24,     2,  9,
20131116,   1,  20,     4,  24, 
20131116,   5,  38,     6,  30,
20131109,   4,  34,     3,  6,
20131109,   2,  0,      5,  34,
20131109,   6,  26,     7,  38,
20131109,   8,  24,     1,  17,
20131102,   5,  24,     4,  21,
20131102,   7,  53,     3,  20,
20131102,   1,  27,     6,  0, 
20131102,   8,  53,     2,  12,
20131026,   4,  56,     2,  0,
20131026,   6,  28,     8,  17,
20131026,   5,  48,     7,  51,
20131026,   3,  35,     1,  42,
20131019,   1,  17,     7,  39,
20131019,   2,  7,      6,  21,
20131012,   4,  20,     8,  13,
20131012,   3,  24,     5,  34,
20131005,   6,  37,     4,  31,
20131005,   7,  53,     2,  7,
20130928,   5,  41,     1,  23,
20130928,   8,  38,     3,  23,
